name,quadrant_conf,block_conf
Реновация ВМ-П-СО ш.Ангидрит (НОК),0.416,0.7176
Реновация ВМ-П-СО р.Таймырский (ЗФ),0.416,0.521
Реновация ВМ-П-СО р.Скалистый (ЗФ),0.416,0.7125
Реновация ВМ-П-СО р.Октябрьский (ЗФ),0.416,0.5183
Реновация ВМ-П-СО р.Маяк (ЗФ),0.416,0.7156
Реновация АСУ НПС №2 ш.Ангидрит (НОК),0.416,0.7117
Реновация РК-РМВ-5 р.Комсомольский (ЗФ),0.416,0.674
Реновация РК-РМВ-19 р.Комсомольский (ЗФ),0.416,0.6704
Реновация РМ-АСВУ р.Маяк (ЗФ),0.416,0.5331
Реновация РК-СКДС р.Комсомольский (ЗФ),0.416,0.6144
"Установка оборудования (камеры, датчики) для определения и контроля мутности сливов сгустителей",0.416,0.4747
Реновация РОННИ,0.416,0.6359
Реновация РМ-АСУ-ВО р.Маяк (ЗФ),0.416,0.6459
Реновация УТП УОК РЦ (КГМК),0.416,0.7078
Перевод Хранилище технологических данных (КГМК) на целевые CoreIT,0.416,0.709
Реновация ТР-ЗХ р.Комсомольский (ЗФ),0.416,0.6807
"Реновация Корпоративной системы интеграции приложений (КСИП). Этап 2 (SAP DS, SAP SLT)",0.416,0.903
Реновация КАСУД (ДИТ-А-110),0.416,0.723
Реновация АСОП и АСМ р.Заполярный (МР),0.4163,0.7055
Реновация САУ Связи (НТГ),0.4166,0.6264
Система предиктивного контроля насосного оборудования НОФ ООО Медвежий ручей,0.4169,0.4778
Отбор и перевод информационных систем в публичное облако,0.4174,0.0
Цифровая система регулировки подачи флокулянта МНПК,0.4178,0.6797
Перевод Менеджер лицензий Abbyy (ПАО ГМК) на целевые CoreIT,0.4178,0.5507
Перевод АИИС КУЭ ГРКБ на целевые CoreIT,0.4179,0.7473
"Перевод АИС ТЭЦ (ИИС КПО, КГМК) на целевые CoreIT",0.4182,0.6128
